full_level_index,height_m,thickness_m
1,0.0,
2,35.0,35.0
3,76.5,41.6
4,125.8,49.3
5,184.1,58.3
6,252.9,68.8
7,333.7,80.9
8,428.5,94.8
9,539.1,110.6
10,667.5,128.4
11,815.9,148.3
12,986.2,170.3
13,1180.3,194.1
14,1400.0,219.7
15,1646.5,246.5
16,1920.6,274.1
17,2222.7,302.1
18,2552.3,329.6
19,2908.5,356.2
20,3289.6,381.1
21,3693.4,403.8
22,4117.5,424.0
23,4558.9,441.4
24,5014.7,455.8
25,5483.2,468.5
26,5964.4,481.2
27,6458.3,493.9
28,6965.0,506.6
29,7484.3,519.3
30,8016.1,531.8
31,8560.3,544.2
32,9116.5,556.3
33,9684.7,568.1
34,10264.2,579.6
35,10854.7,590.5
36,11455.7,601.0
37,12066.4,610.7
38,12686.1,619.7
39,13316.5,630.4
40,13972.0,655.5
41,14653.7,681.7
42,15362.6,708.9
43,16099.8,737.2
44,16866.4,766.6
45,17663.6,797.2
46,18492.5,828.9
47,19335.4,842.9
48,20178.3,842.9
49,21021.3,842.9
50,21864.2,842.9
51,22707.1,842.9
52,23550.0,842.9
53,24392.9,842.9
54,25235.8,842.9
